都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,USER_通し番号,USER_施設名称,USER_棟名,USER_建物用途,区,USER_住所,USER_Field9,USER_静岡県浜松市,経度,緯度,階数,3階×ｍ,収容人数(0.7*0.7)指数o.8,USER_避難場所,USER_面積___,USER_公共民間,USER_建物の構造,USER_建築年,USER_x,USER_y
221309,425,静岡県,浜松市,250,エアリスⅡ,,集合住宅,中央区,高塚町2384-3,中央区高塚町2384-3,静岡県浜松市中央区高塚町2384-3,137.6761901,34.6863693,3階,6ｍ,51人,3階通路,35.64,民間,RC,2013,15326043.38,4121341.246
221309,426,静岡県,浜松市,254,西消防署,,消防施設,中央区,馬郡町4074-1,中央区馬郡町4074-1,静岡県浜松市中央区馬郡町4074-1,137.6303356,34.6819853,3階,6ｍ,89人,屋上,62.4,公共,RC,1991,15320938.88,4120747.759
221309,429,静岡県,浜松市,259,江西中学校,南棟,学校,中央区,神田町123,中央区神田町123,静岡県浜松市中央区神田町123,137.726472,34.688222,3階,6ｍ,828人,3階普通教室・特別教室・廊下,582,公共,RC,,15331640.73,4121592.065
221309,427,静岡県,浜松市,256,浅間小学校,北棟,学校,中央区,西浅田二丁目12-1,中央区西浅田二丁目12-1,静岡県浜松市中央区西浅田二丁目12-1,137.726833,34.692,3階,6ｍ,192人,3階特別教室・廊下,135,公共,RC,,15331680.92,4122103.55
221309,428,静岡県,浜松市,257,浅間小学校,南棟,学校,中央区,西浅田二丁目12-1,中央区西浅田二丁目12-1,静岡県浜松市中央区西浅田二丁目12-1,137.726833,34.692,3階,6ｍ,858人,3階普通教室・廊下,603,公共,RC,,15331680.92,4122103.55
221309,430,静岡県,浜松市,260,白羽ガバナステーション,,企業,中央区,白羽町1739-1,中央区白羽町1739-1,静岡県浜松市中央区白羽町1739-1,137.733095,34.671835,2階,3ｍ,750人,1階屋上・2階屋上・3階屋上,527,民間,RC,2014,15332378,4119373.777
221309,431,静岡県,浜松市,261,浜松貿易株式会社,浜松本社事務所棟,企業,中央区,神田町1195,中央区神田町1195,静岡県浜松市中央区神田町1195,137.718397,34.685685,3階,6ｍ,320人,3階屋上・4階（食堂・休憩室・備蓄倉庫）,225,民間,RC,2014,15330741.83,4121248.606
221309,433,静岡県,浜松市,270,ポリテクカレッジ浜松,Ⅰ号館（管理棟）,学校,中央区,法枝町693,中央区法枝町693,静岡県浜松市中央区法枝町693,137.719354,34.676978,4階,9ｍ,"1,229人",3階～4階各教室及び廊下,864,民間,RC,,15330848.36,4120069.931
221309,434,静岡県,浜松市,271,ポリテクカレッジ浜松,Ⅲ号館（実験棟）,学校,中央区,法枝町693,中央区法枝町693,静岡県浜松市中央区法枝町693,137.719354,34.676978,3階,6ｍ,"1,138人",3階各教室及び廊下,800,民間,RC,,15330848.36,4120069.931
221309,432,静岡県,浜松市,263,遠州灘海浜公園球技場,,球技場,中央区,江之島町1706,中央区江之島町1706,静岡県浜松市中央区江之島町1706,137.745992,34.668541,4階,9ｍ,"2,483人",メインスタンド,1746,公共,RC,1991,15333813.69,4118927.925
221309,435,静岡県,浜松市,272,浜名幼稚園,,幼稚園,中央区,舞阪町浜田76,中央区舞阪町浜田76,静岡県浜松市中央区舞阪町浜田76,137.615596,34.682614,2階,3ｍ,366人,屋上,257,民間,RC,2016,15319298.07,4120832.867
221309,436,静岡県,浜松市,273,特別養護老人ホーム第二南風,,福祉施設,中央区,倉松町598,中央区倉松町598,静岡県浜松市中央区倉松町598,137.697044,34.675416,3階,6ｍ,946人,3階屋内及びバルコニー・屋上,665,民間,S,2016,15328364.82,4119858.495
221309,438,静岡県,浜松市,275,インテグラB,,集合住宅,中央区,小沢渡町1156-2,中央区小沢渡町1156-2,静岡県浜松市中央区小沢渡町1156-2,137.6803315,34.68471955,3階,6ｍ,122人,屋上,86,民間,RC,2015,15326504.39,4121117.906
221309,437,静岡県,浜松市,274,グリーンハイツ土屋,,集合住宅,中央区,三島町682,中央区三島町682,静岡県浜松市中央区三島町682,137.7425,34.6895,3階,6ｍ,57人,3階通路,40,民間,RC,1985,15333424.96,4121765.085
221309,439,静岡県,浜松市,276,インテグラC,,集合住宅,中央区,小沢渡町1155-1,中央区小沢渡町1155-1,静岡県浜松市中央区小沢渡町1155-1,137.6803622,34.68499829,3階,6ｍ,122人,屋上,86,民間,RC,2015,15326507.81,4121155.641
